"DSKY, Акции"
"ENRU, Акции"
"TGKA, Акции"
"LNTA, Акции"
"PLZL, Акции"
"OGKB, Акции"
"MOEX, Акции"
"SBER, Акции"
"GAZP, Акции"
"VTBR, Акции"
"LKOH, Акции"
"ROSN, Акции"
"GMKN, Акции"
"SNGS, Акции"
"SBERP, Акции"
"FEES, Акции"
"HYDR, Акции"
"CHMF, Акции"
"TRNFP, Акции"
"NVTK, Акции"
"POLY, Акции"
"MGNT, Акции"
"TATN, Акции"
"NLMK, Акции"
"SNGSP, Акции"
"MTSS, Акции"
"RSTI, Акции"
"RTKM, Акции"
"AFLT, Акции"
"IRAO, Акции"
"SIBN, Акции"
"MAGN, Акции"
"MTLR, Акции"
"RTKMP, Акции"
"AFKS, Акции"
"RASP, Акции"
"BANEP, Акции"
"UPRO, Акции"
"BANE, Акции"
"TATNP, Акции"
"PHOR, Акции"
"ALRS, Акции"
"PIKK, Акции"
"LSRG, Акции"
"MVID, Акции"
"MTLRP, Акции"
"YNDX, Акции"
"AGRO, Акции"
"RUAL, Акции"
"CBOM, Акции"
"FIVE, Акции"
"MAIL, Акции"
"OZON, Акции"
"AAPL, Акции"
"AMT, Акции"
"ABT, Акции"
"ADBE, Акции"
"WU, Акции"
"RCL, Акции"
"MET, Акции"
"ADM, Акции"
"AIG, Акции"
"VLO, Акции"
"NVDA, Акции"
"ALK, Акции"
"DRI, Акции"
"AMAT, Акции"
"AMD, Акции"
"AMGN, Акции"
"DVN, Акции"
"ARE, Акции"
"AXP, Акции"
"BA, Акции"
"BAC, Акции"
"BBY, Акции"
"BEN, Акции"
"BK, Акции"
"BLL, Акции"
"CNC, Акции"
"CAT, Акции"
"CCL, Акции"
"FSLR, Акции"
"ADS, Акции"
"CINF, Акции"
"CLF, Акции"
"CMCSA, Акции"
"MOS, Акции"
"MAR, Акции"
"CVS, Акции"
"YUM, Акции"
"DHR, Акции"
"DIS, Акции"
"CME, Акции"
"ED, Акции"
"MLCO, Акции"
"SHI, Акции"
"EMR, Акции"
"EQT, Акции"
"ALB, Акции"
"SPG, Акции"
"FCX, Акции"
"FDX, Акции"
"NEE, Акции"
"GD, Акции"
"GLW, Акции"
"GPS, Акции"
"GT, Акции"
"HAL, Акции"
"HAS, Акции"
"HBAN, Акции"
"WELL, Акции"
"HD, Акции"
"HOG, Акции"
"MAC, Акции"
"BKNG, Акции"
"LHX, Акции"
"IBM, Акции"
"IDXX, Акции"
"MS, Акции"
"ET, Акции"
"ADSK, Акции"
"JNJ, Акции"
"KEY, Акции"
"KMB, Акции"
"KO, Акции"
"KR, Акции"
"CRM, Акции"
"LLY, Акции"
"LOW, Акции"
"LRCX, Акции"
"LUV, Акции"
"MAS, Акции"
"INCY, Акции"
"MCD, Акции"
"MDT, Акции"
"EA, Акции"
"SPGI, Акции"
"MMM, Акции"
"MO, Акции"
"MSFT, Акции"
"NEM, Акции"
"OKE, Акции"
"ORCL, Акции"
"F, Акции"
"OXY, Акции"
"COP, Акции"
"PBCT, Акции"
"PBI, Акции"
"PCG, Акции"
"PG, Акции"
"PTR, Акции"
"PPL, Акции"
"PVH, Акции"
"RL, Акции"
"BXP, Акции"
"OMC, Акции"
"ROST, Акции"
"SNPS, Акции"
"T, Акции"
"SCHW, Акции"
"SLB, Акции"
"SO, Акции"
"SWN, Акции"
"SYY, Акции"
"TJX, Акции"
"TROW, Акции"
"AMZN, Акции"
"TXN, Акции"
"RTX, Акции"
"WBA, Акции"
"WDC, Акции"
"BTI, Акции"
"WFC, Акции"
"WMB, Акции"
"WM, Акции"
"WMT, Акции"
"UAA, Акции"
"IVZ, Акции"
"EOG, Акции"
"XLNX, Акции"
"INTC, Акции"
"ENDP, Акции"
"BSX, Акции"
"BIIB, Акции"
"LMT, Акции"
"VRTX, Акции"
"CSCO, Акции"
"EBAY, Акции"
"M, Акции"
"GRMN, Акции"
"SIG, Акции"
"NKE, Акции"
"MU, Акции"
"GS, Акции"
"REGN, Акции"
"QCOM, Акции"
"UNH, Акции"
"DISCA, Акции"
"TTE, Акции"
"GILD, Акции"
"NFLX, Акции"
"MBT, Акции"
"SBUX, Акции"
"ATVI, Акции"
"GPN, Акции"
"MDLZ, Акции"
"EIX, Акции"
"CAH, Акции"
"NRG, Акции"
"ACN, Акции"
"PEP, Акции"
"O, Акции"
"TSN, Акции"
"JPM, Акции"
"BMY, Акции"
"DHI, Акции"
"IBN, Акции"
"ILMN, Акции"
"BRK.B, Акции"
"STX_OLD_240521, Акции"
